PLAYER_ID,PARTNER_ID,PIMS,PPS_ON,PPS_OFF,N_CNT_SHOT,MIN_GROUP,PLAYER_NAME,PARTNER_NAME
1630180,1630191,-1.00340468959246,1.05,0.96,252,ON,Saddiq Bey,Isaiah Stewart
1630180,202711,-1.25084973196233,1.02,0.99,218,OFF,Saddiq Bey,Bojan Bogdanovic
1630180,1631105,-1.21556055346774,0.93,1.04,239,ON,Saddiq Bey,Jalen Duren
1630180,202692,1.32545925843943,0.95,1.02,218,ON,Saddiq Bey,Alec Burks
202711,1630180,1.93579082264346,1.22,1.05,294,OFF,Bojan Bogdanovic,Saddiq Bey
202711,1631093,1.45081777030049,1.1,1.25,221,OFF,Bojan Bogdanovic,Jaden Ivey
202711,1630165,1.5809172902643,1.07,1.19,328,OFF,Bojan Bogdanovic,Killian Hayes
202711,1630191,-1.23441560991224,1.15,1.07,205,OFF,Bojan Bogdanovic,Isaiah Stewart
202711,1631105,1.48362791482518,0.98,1.31,376,OFF,Bojan Bogdanovic,Jalen Duren
202711,202692,1.24548007608087,1.22,1.055,245,ON,Bojan Bogdanovic,Alec Burks
1630165,1630180,-1.0601530185221,0.93,0.87,231,ON,Killian Hayes,Saddiq Bey
1630165,1631093,1.90449098641233,0.84,0.86,280,OFF,Killian Hayes,Jaden Ivey
1630165,1630587,1.0681662144541,0.79,0.83,204,OFF,Killian Hayes,Isaiah Livers
1630165,1631105,1.07679915690046,0.82,0.86,316,OFF,Killian Hayes,Jalen Duren
1630165,1628963,-1.40519600347495,0.91,0.91,204,ON,Killian Hayes,Marvin Bagley III
203952,1629673,1.60528214391836,1,1.25,244,OFF,Andrew Wiggins,Jordan Poole
203952,1626172,1.51634638827931,1.12,1.12,225,OFF,Andrew Wiggins,Kevon Looney
203110,1626172,1.96515953468698,1.17,1.12,228,ON,Draymond Green,Kevon Looney
203110,1628978,-1.17554381669693,1.09,1.17,200,OFF,Draymond Green,Donte DiVincenzo
202691,1629673,1.15618734064572,1.145,1.08,601,OFF,Klay Thompson,Jordan Poole
202691,1626172,-1.25952334494683,1.09,1.15,486,OFF,Klay Thompson,Kevon Looney
202691,203110,-1.06438287528412,1.14,1.05,258,OFF,Klay Thompson,Draymond Green
202691,1630228,-1.23930582046087,1.07,1.125,319,ON,Klay Thompson,Jonathan Kuminga
202691,1630237,1.04607723267047,1.18,1.11,212,ON,Klay Thompson,Anthony Lamb
202691,1628978,-1.4959134416918,1.13,1.15,547,OFF,Klay Thompson,Donte DiVincenzo
201939,202691,1.08182992092484,1.26,1.2,266,OFF,Stephen Curry,Klay Thompson
201939,1629673,1.58958768018695,1.2,1.27,486,ON,Stephen Curry,Jordan Poole
201939,1626172,1.21304275953717,1.25,1.23,501,OFF,Stephen Curry,Kevon Looney
201939,203110,-1.00562384171459,1.26,1.19,272,OFF,Stephen Curry,Draymond Green
201939,1630228,-1.31150940124051,1.18,1.25,251,ON,Stephen Curry,Jonathan Kuminga
201939,1630237,-1.21333649080027,1.26,1.18,219,ON,Stephen Curry,Anthony Lamb
201939,1628978,-1.08736962979029,1.26,1.19,405,ON,Stephen Curry,Donte DiVincenzo
1629673,201939,3.02442247145789,1.09,1.03,342,ON,Jordan Poole,Stephen Curry
1629673,1629660,-1.37112473791027,1.01,1.04,208,ON,Jordan Poole,Ty Jerome
1629673,1630541,-1.03122493417882,1.08,0.99,277,ON,Jordan Poole,Moses Moody
1629673,202691,2.78697496433103,1.06,0.99,440,OFF,Jordan Poole,Klay Thompson
1629673,1626172,1.8978361620462,1.06,1.01,563,ON,Jordan Poole,Kevon Looney
1629673,203110,1.62657446523108,1.065,1,384,OFF,Jordan Poole,Draymond Green
1629673,1630228,1.04669311274983,1,1.07,449,ON,Jordan Poole,Jonathan Kuminga
1629673,1630237,1.12517370322855,0.9,1.11,407,ON,Jordan Poole,Anthony Lamb
1629673,203210,1.24363723282726,0.99,1.08,295,ON,Jordan Poole,JaMychal Green
1629673,1628978,1.24729576477858,1.04,1.05,458,OFF,Jordan Poole,Donte DiVincenzo
1628978,1629673,1.38014995928342,1.14,1.18,219,OFF,Donte DiVincenzo,Jordan Poole
1628978,1626172,1.58939544279287,1.1,1.22,254,OFF,Donte DiVincenzo,Kevon Looney
1628978,1630228,1.31044874860813,1.24,1.11,211,ON,Donte DiVincenzo,Jonathan Kuminga
1630224,201569,2.28605084537702,1.1,0.89,338,OFF,Jalen Green,Eric Gordon
1630224,1630578,1.10594447001153,1,0.93,350,OFF,Jalen Green,Alperen Sengun
1630224,1631095,1.60975240117873,0.93,1.05,338,OFF,Jalen Green,Jabari Smith Jr.
1630224,1631106,1.44411272773828,1.01,0.97,441,ON,Jalen Green,Tari Eason
1630224,1630586,1.1767691263488,0.99,0.96,241,ON,Jalen Green,Usman Garuba
